date,Roadways,Aviation,Passenger Rail,Intercity Bus
9-Feb-20,0.01,0.04,0.01,-0.01
16-Feb-20,0.03,0.03,0.04,-0.02
23-Feb-20,0.04,0.02,0.02,-0.02
1-Mar-20,0.03,-0.06,0.02,-0.06
8-Mar-20,0.01,-0.23,-0.08,-0.12
15-Mar-20,-0.07,-0.61,-0.43,-0.33
22-Mar-20,-0.33,-0.88,-0.83,-0.61
29-Mar-20,-0.51,-0.94,-0.93,-0.79
5-Apr-20,-0.54,-0.95,-0.95,-0.83
12-Apr-20,-0.55,-0.96,-0.96,-0.86
19-Apr-20,-0.51,-0.95,-0.96,-0.85
26-Apr-20,-0.48,-0.94,-0.95,-0.83
3-May-20,-0.4,-0.93,-0.94,-0.8
10-May-20,-0.32,-0.91,-0.93,-0.79
17-May-20,-0.34,-0.89,-0.93,-0.77
24-May-20,-0.29,-0.87,-0.92,-0.76
31-May-20,-0.27,-0.85,-0.9,-0.74
7-Jun-20,-0.24,-0.82,-0.88,-0.73
14-Jun-20,-0.22,-0.8,-0.86,-0.7
21-Jun-20,-0.17,-0.78,-0.83,-0.69
28-Jun-20,-0.17,-0.73,-0.82,-0.7
5-Jul-20,-0.18,-0.73,-0.77,-0.7
12-Jul-20,-0.18,-0.73,-0.8,-0.7
19-Jul-20,-0.17,-0.74,-0.82,-0.72
26-Jul-20,-0.17,-0.73,-0.81,-0.72
2-Aug-20,-0.17,-0.72,-0.8,-0.72
9-Aug-20,-0.14,-0.7,-0.8,-0.71
16-Aug-20,-0.14,-0.7,-0.79,-0.7
23-Aug-20,-0.12,-0.7,-0.78,-0.69
30-Aug-20,-0.16,-0.62,-0.77,-0.7
6-Sep-20,-0.06,-0.66,-0.74,-0.6
13-Sep-20,-0.09,-0.69,-0.72,-0.65
20-Sep-20,-0.11,-0.67,-0.75,-0.65
27-Sep-20,-0.1,-0.66,-0.74,-0.64
4-Oct-20,-0.09,-0.65,-0.74,-0.67
11-Oct-20,-0.1,-0.63,-0.74,-0.68
18-Oct-20,-0.09,-0.63,-0.76,-0.66
25-Oct-20,-0.12,-0.62,-0.75,-0.66
1-Nov-20,-0.13,-0.65,-0.73,-0.67
8-Nov-20,-0.13,-0.64,-0.77,-0.68
15-Nov-20,-0.15,-0.62,-0.78,-0.68
22-Nov-20,-0.15,-0.61,-0.78,-0.7
29-Nov-20,-0.17,-0.65,-0.81,-0.72
6-Dec-20,-0.17,-0.68,-0.81,-0.72
13-Dec-20,-0.15,-0.64,-0.84,-0.73
20-Dec-20,-0.19,-0.59,-0.83,-0.73
27-Dec-20,-0.17,-0.53,-0.77,-0.69
3-Jan-21,-0.1,-0.54,-0.71,-0.67
10-Jan-21,-0.09,-0.62,-0.75,-0.66
17-Jan-21,-0.08,-0.63,-0.78,-0.68
24-Jan-21,-0.11,-0.63,-0.79,-0.67
31-Jan-21,-0.1,-0.63,-0.75,-0.66
7-Feb-21,-0.1,-0.59,-0.78,-0.66
