Date,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
2019/01/01,724994918,702847527,324233561,389008778,350710314,121295097,47059366,22576469,5417984,5184257
2019/01/02,873821053,857652193,414113344,514907497,502234086,168445426,53216858,23450868,5886809,4593584
2019/01/03,889115519,870213253,422309998,527320887,516078313,172895628,55099166,24373344,6114206,4701143
2019/01/04,879469995,886920417,435751001,543968920,528429562,176283264,57946617,26061661,6288101,4707485
2019/01/05,886366822,912494498,445616683,542819222,495714599,164524542,58090842,25471995,5973364,4315916
2019/01/06,805597752,857444694,409295030,489689051,432270565,140793374,52256297,24482641,5753609,4209125
2019/01/07,904765574,859323445,413092374,509535072,495530876,166980374,52474076,22753761,5446611,4284794
2019/01/08,898611716,856093732,410085633,508398621,498963957,167903048,52107730,22413907,5570316,4302465
2019/01/09,873200106,857507978,412755825,511938057,498503075,166918996,52628976,23126930,5771829,4494469
2019/01/10,892658776,871657966,421172548,524990219,513503021,171407040,54263043,23820524,5927255,4560663
2019/01/11,885811922,892124695,436713701,543746765,527546346,175290740,57170822,25546381,6106381,4563721
2019/01/12,890128077,918102714,446616721,542749433,494851084,163548495,57465247,25054757,5824673,4198962
2019/01/13,811516981,864567443,411021185,490801565,432441689,140068554,51632617,24141248,5646005,4116108
2019/01/14,894940952,861795894,414907515,512304649,497986288,167546751,52900924,23104287,5567941,4370142
2019/01/15,896019102,858050305,410650276,509746493,500351380,168012416,52110610,22386282,5579209,4298858
2019/01/16,874675026,857192755,413310741,514351521,502341073,168571285,53108656,23366685,5866508,4591322
2019/01/17,891178374,869296327,421477505,526045547,515240716,172834379,55027398,24331637,6111313,4694206
2019/01/18,881035422,887716069,435859736,543708731,527806809,176045189,57796366,26003959,6293237,4708127
2019/01/19,887998565,913379464,445897717,542877000,495538538,164428034,57970993,25390804,5969494,4305736
2019/01/20,806943048,858119058,410128387,490262040,432287099,140971639,52433970,24614153,5815778,4262068
2019/01/21,847487489,857309458,413722530,502851566,473883259,161311401,54992247,24499163,5758553,4422293
2019/01/22,889568619,855807322,411572751,510863454,500104212,168075755,52717839,22897283,5756460,4411450
2019/01/23,873613352,858233193,416256880,518425238,505862941,169817048,53918104,23872866,6024064,4696987
2019/01/24,883544336,869670862,424297242,530934176,519486543,174415537,55999191,24966655,6303617,4849810
2019/01/25,871536738,880903950,434679897,544474587,529926812,177497313,58865180,26639326,6463346,4850610
2019/01/26,880935432,905964762,444311438,542841465,496752354,165558698,58837962,25968627,6125248,4441229
2019/01/27,798338565,849637204,406733945,488020998,432084969,141356378,52695662,24689813,5799956,4247782
2019/01/28,914586244,856849060,411274578,506798056,493060782,166412823,52045271,22402362,5325599,4198736
2019/01/29,910261791,854443496,408029078,504635734,496444077,167617514,51499318,21952891,5376202,4197302
2019/01/30,871306471,857125314,408683760,503080658,487293486,162385735,50857711,22136582,5425505,4196101
