Date,Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips 100-250,Number of Trips >=250
2019-01-08,724994918,1027081088,739719092,168354463,22576469,10602241
2019-01-09,873821053,1271765537,1017141583,221662284,23450868,10480393
2019-01-10,889115519,1292523251,1043399200,227994794,24373344,10815349
2019-01-11,879469995,1322671418,1072398482,234229881,26061661,10995586
2019-01-12,886366822,1358111181,1038533821,222615384,25471995,10289280
2019-01-13,805597752,1266739724,921959616,193049671,24482641,9962734
2019-01-14,904765574,1272415819,1005065948,219454450,22753761,9731405
2019-01-15,898611716,1266179365,1007362578,220010778,22413907,9872781
2019-01-16,873200106,1270263803,1010441132,219547972,23126930,10266298
2019-01-17,892658776,1292830514,1038493240,225670083,23820524,10487918
2019-01-18,885811922,1328838396,1071293111,232461562,25546381,10670102
2019-01-19,890128077,1364719435,1037600517,221013742,25054757,10023635
2019-01-20,811516981,1275588628,923243254,191701171,24141248,9762113
2019-01-21,894940952,1276703409,1010290937,220447675,23104287,9938083
2019-01-22,896019102,1268700581,1010097873,220123026,22386282,9878067
2019-01-23,874675026,1270503496,1016692594,221679941,23366685,10457830
2019-01-24,891178374,1290773832,1041286263,227861777,24331637,10805519
2019-01-25,881035422,1323575805,1071515540,233841555,26003959,11001364
2019-01-26,887998565,1359277181,1038415538,222399027,25390804,10275230
2019-01-27,806943048,1268247445,922549139,193405609,24614153,10077846
2019-01-28,847487489,1271031988,976734825,216303648,24499163,10180846
2019-01-29,889568619,1267380073,1010967666,220793594,22897283,10167910
2019-01-30,873613352,1274490073,1024288179,223735152,23872866,10721051
2019-01-31,883544336,1293968104,1050420719,230414728,24966655,11153427
2019-02-01,871536738,1315583847,1074401399,236362493,26639326,11313956
2019-02-02,880935432,1350276200,1039593819,224396660,25968627,10566477
2019-02-03,798338565,1256371149,920105967,194052040,24689813,10047738
2019-02-04,914586244,1268123638,999858838,218458094,22402362,9524335
2019-02-05,910261791,1262472574,1001079811,219116832,21952891,9573504
2019-02-06,871306471,1265809074,990374144,213243446,22136582,9621606
2019-02-07,903228084,1293765421,1023801301,218734020,22164282,9504561
2019-02-08,908259413,1352435255,1071960181,228018855,24074195,9734505
2019-02-09,904769239,1389821392,1038768647,217064013,23909801,9265055
2019-02-10,832399707,1307100860,930564830,188343341,23201802,9199856
2019-02-11,878586300,1290136253,1024567741,223295066,23902610,10391903
2019-02-12,891574591,1281053231,1022078656,221279513,22396314,9930065
2019-02-13,882388314,1275973859,1039287841,228944913,24175024,11072269
2019-02-14,890087622,1289421110,1053563481,235308546,25966531,11803171
2019-02-15,869962990,1312714869,1076200204,238864737,27478047,12038761
2019-02-16,885060608,1348122632,1044722246,227418000,26482324,11070227
2019-02-17,796197439,1250870724,923963901,199299419,26134995,11062864
2019-02-18,864193868,1247384292,1014191202,228158760,25536489,11748203
2019-02-19,873482041,1268181875,1017371015,223682231,24520675,11077674
2019-02-20,873732895,1291372996,1051064380,230739512,25492844,11553405
2019-02-21,863904350,1308465069,1081930596,239041368,26951692,12241760
2019-02-22,846250202,1296453342,1087205454,244911595,28676998,12297809
2019-02-23,862935223,1328158902,1047017484,231284817,27812638,11486311
2019-02-24,775438282,1225333208,916177089,196710299,25009701,9994404
2019-02-25,812066986,1231473362,988064452,219881013,24396390,10301367
2019-02-26,885920912,1272539720,1017117579,222276098,23396424,10452373
2019-02-27,876898175,1282818772,1038276024,227562870,24533833,11096749
2019-02-28,879562401,1300302116,1063746269,234745141,25897683,11677154
2019-03-01,863978087,1310660811,1081042744,240234724,27556843,11816573
2019-03-02,877036753,1344531011,1044961117,227770054,26751540,11002229
2019-03-03,791370517,1246715843,921084553,196343835,25128522,10247082
2019-03-04,856307022,1248670225,1025287422,230416641,25550798,11791963
2019-03-05,860332900,1252572227,1024460459,226781752,24189058,11036842
2019-03-06,885821120,1329132113,1076017818,226972085,21727594,9632766
2019-03-07,873861121,1335177560,1092232586,232084707,22664858,9954434
2019-03-08,860061816,1306615349,1081483615,241340176,27902778,12050550
2019-03-09,875014423,1340266448,1045572718,228823360,27016700,11186232
2019-03-10,787673184,1240963580,920411920,197457065,25427154,10433793
2019-03-11,860236302,1248015113,1019741400,229281943,25544053,11769611
2019-03-12,873253124,1264439339,1019642586,224230376,24017320,10854748
2019-03-13,878826707,1301113961,1055123416,228421654,23928391,10758902
2019-03-14,872452830,1314664364,1079306768,235286850,25176214,11291930
2019-03-15,916304700,1411737661,1173555143,259033519,28911232,12261880
2019-03-16,930520083,1442484605,1130153826,245423771,28079646,11432576
2019-03-17,842893785,1342797695,999769828,211840245,26348517,10527417
2019-03-18,948306203,1415731532,1165853525,256752176,26786855,12268182
2019-03-19,931172802,1370250217,1118736690,243590366,24774076,11192836
2019-03-20,947128481,1430287195,1162884326,245116810,23265774,10332046
2019-03-21,943619559,1443092240,1184243046,251265419,24305523,10677843
2019-03-22,981579816,1539944814,1276512156,274192735,28366147,11745093
2019-03-23,990791799,1564316332,1224855692,260436695,27585103,10947981
2019-03-24,903500120,1455191216,1084430482,227079051,27403896,10844286
2019-03-25,975125132,1473759953,1218033474,265911079,26885729,12299932
2019-03-26,979367773,1476037716,1224348692,264201382,25657325,11655207
2019-03-27,1013764577,1572811702,1285322868,262851612,22182970,9686378
2019-03-28,1008184099,1583925299,1304603109,268374832,22967654,9822267
2019-03-29,1037654195,1669862435,1388191620,290248457,27433705,10975199
2019-03-30,1041599074,1683806062,1324638583,276098941,26718819,10240646
2019-03-31,956122913,1562359623,1170816442,242444482,28139338,10887453
2019-04-01,1032300963,1562098705,1305148101,287124118,29328276,13613957
2019-04-02,1026004511,1558689985,1311402504,285696941,28166159,12987715
2019-04-03,1091207781,1715321236,1401627097,280421231,21603360,9252575
2019-04-04,1072594235,1717167647,1413867217,284606288,22133953,9215308
2019-04-05,1017980829,1674848812,1398818213,286971481,25094791,9718935
2019-04-06,1020056453,1678763932,1329197756,273319834,24464008,9067816
2019-04-07,945032427,1572158826,1186549954,242516201,26769296,10063675
2019-04-08,1040256768,1582800918,1306376595,283038750,28014564,12744619
2019-04-09,1047185204,1585653081,1314588025,281681762,26730567,12090051
2019-04-10,1078597735,1678931256,1374313823,280744537,23502106,10269086
2019-04-11,1077359425,1693709541,1396707718,286872702,24356737,10401723
2019-04-12,1042017008,1681095840,1396025943,290352323,27032846,10745205
2019-04-13,1043695446,1693527599,1331113971,276246771,26328632,10030037
2019-04-14,957139629,1562486111,1170100623,242357757,28210277,10942001
2019-04-15,1028676365,1589844453,1322340596,284145346,27084484,12361560
2019-04-16,1030487699,1589900180,1333968174,284067996,26036396,11838064
2019-04-17,1076829697,1710330451,1405695535,280837146,21271185,9154120
2019-04-18,1073343528,1722776590,1424931864,286165775,21891313,9109137
2019-04-19,1032232813,1700321382,1416243689,288482275,24777470,9506193
2019-04-20,1029456101,1703026581,1344412014,274737489,24147738,8881077
2019-04-21,949210181,1568204889,1180402577,242414834,27297301,10383918
2019-04-22,1028943233,1615194466,1334195237,280823155,25141834,11237779
2019-04-23,1040533728,1619696547,1350061637,281577539,24151592,10772466
2019-04-24,1063093048,1694902761,1399235833,281210131,21712046,9428805
2019-04-25,1075436684,1718698114,1426557486,287884072,22474704,9434575
2019-04-26,1049712631,1719563069,1426852962,290476294,25220073,9705237
2019-04-27,1043672074,1724202937,1355084528,276685799,24570275,9078105
2019-04-28,956097353,1562397155,1170856027,242411428,28134008,10885945
2019-04-29,1032675253,1595961426,1320986064,282708755,26751986,12115264
2019-04-30,1039427381,1598402841,1332893661,282484575,25647455,11567780
2019-05-01,1072904895,1694701245,1393106392,280961935,22174211,9617711
2019-05-02,1075394815,1711748196,1416104647,287018498,22911143,9647875
2019-05-03,1041422302,1700350456,1413089675,289829074,25686457,9986381
2019-05-04,1038988846,1706948348,1343594818,275878583,25017100,9330938
2019-05-05,954220248,1564361753,1173796082,242475121,27890749,10738798
2019-05-06,1030152797,1600341409,1325870033,282602193,26336231,11904804
2019-05-07,1036886800,1602675304,1338996001,282758056,25284767,11393366
2019-05-08,1070973767,1700003563,1399369301,281052932,21728834,9400817
2019-05-09,1074727066,1717738320,1422554259,287040696,22426265,9397976
2019-05-10,1041201908,1706762569,1418750500,289635461,25229137,9733494
