Date,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Number of Trips 25-50
2019/01/01,724994918,702847527,324233561,389008778,350710314,47059366,22576469,5417984,5184257,38143.112264150943
2019/01/02,873821053,857652193,414113344,514907497,502234086,53216858,23450868,5886809,4593584,52986.922302610884
2019/01/03,889115519,870213253,422309998,527320887,516078313,55099166,24373344,6114206,4701143,54386.797106008179
2019/01/04,879469995,886920417,435751001,543968920,528429562,57946617,26061661,6288101,4707485,55434.988679245283
2019/01/05,886366822,912494498,445616683,542819222,495714599,58090842,25471995,5973364,4315916,51786.132200188857
2019/01/06,805597752,857444694,409295030,489689051,432270565,52256297,24482641,5753609,4209125,44274.645911949686
2019/01/07,904765574,859323445,413092374,509535072,495530876,52474076,22753761,5446611,4284794,52542.59723096287
2019/01/08,898611716,856093732,410085633,508398621,498963957,52107730,22413907,5570316,4302465,52849.5587031791
2019/01/09,873200106,857507978,412755825,511938057,498503075,52628976,23126930,5771829,4494469,52523.283826305853
2019/01/10,892658776,871657966,421172548,524990219,513503021,54263043,23820524,5927255,4560663,53952.483474976393
2019/01/11,885811922,892124695,436713701,543746765,527546346,57170822,25546381,6106381,4563721,55122.874213836478
2019/01/12,890128077,918102714,446616721,542749433,494851084,57465247,25054757,5824673,4198962,51511.337007874016
2019/01/13,811516981,864567443,411021185,490801565,432441689,51632617,24141248,5646005,4116108,44060.570619691727
2019/01/14,894940952,861795894,414907515,512304649,497986288,52900924,23104287,5567941,4370142,52737.409820585458
2019/01/15,896019102,858050305,410650276,509746493,500351380,52110610,22386282,5579209,4298858,52800.884978001257
2019/01/16,874675026,857192755,413310741,514351521,502341073,53108656,23366685,5866508,4591322,53009.838050314465
2019/01/17,891178374,869296327,421477505,526045547,515240716,55027398,24331637,6111313,4694206,54333.347689405847
2019/01/18,881035422,887716069,435859736,543708731,527806809,57796366,26003959,6293237,4708127,55342.718956303049
2019/01/19,887998565,913379464,445897717,542877000,495538538,57970993,25390804,5969494,4305736,51772.051007556675
2019/01/20,806943048,858119058,410128387,490262040,432287099,52433970,24614153,5815778,4262068,44330.704088050314
2019/01/21,847487489,857309458,413722530,502851566,473883259,54992247,24499163,5758553,4422293,50710.908833700094
2019/01/22,889568619,855807322,411572751,510863454,500104212,52717839,22897283,5756460,4411450,52837.39547312166
2019/01/23,873613352,858233193,416256880,518425238,505862941,53918104,23872866,6024064,4696987,53418.385655866625
2019/01/24,883544336,869670862,424297242,530934176,519486543,55999191,24966655,6303617,4849810,54864.906259830135
2019/01/25,871536738,880903950,434679897,544474587,529926812,58865180,26639326,6463346,4850610,55816.765094339623
2019/01/26,880935432,905964762,444311438,542841465,496752354,58837962,25968627,6125248,4441229,52078.860648002517
2019/01/27,798338565,849637204,406733945,488020998,432084969,52695662,24689813,5799956,4247782,44437.717070103741
2019/01/28,914586244,856849060,411274578,506798056,493060782,52045271,22402362,5325599,4198736,52331.07641509434
2019/01/29,910261791,854443496,408029078,504635734,496444077,51499318,21952891,5376202,4197302,52726.490720352312
2019/01/30,871306471,857125314,408683760,503080658,487293486,50857711,22136582,5425505,4196101,51080.759672853098
2019/01/31,903228084,876021407,417744014,518000166,505801135,51763348,22164282,5367063,4137498,52523.017301038062
2019/02/01,908259413,911184889,441250366,545097793,526862388,55058039,24074195,5585667,4148838,54424.422907488987
2019/02/02,904769239,938494839,451326553,544618860,494149787,55788366,23909801,5399658,3865397,50731.565586662472
2019/02/03,832399707,889323242,417777618,495988934,434575896,49951598,23201802,5343083,3856773,43492.06253928347
2019/02/04,878586300,870031744,420104509,519762813,504804928,53957841,23902610,5832404,4559499,53233.95944671487
2019/02/05,891574591,867171940,413881291,515680762,506397894,52306583,22396314,5626124,4303941,53102.743557510999
2019/02/06,882388314,859439126,416534733,523506721,515781120,54753958,24175024,6173247,4899022,54725.402136349356
2019/02/07,890087622,865440586,423980524,531191878,522371603,57533062,25966531,6688687,5114484,55869.102451288498
2019/02/08,869962990,877775317,434939552,545625056,530575148,59886230,27478047,6877684,5161077,56247.173790069139
2019/02/09,885060608,902631847,445490785,545265444,499456802,59721515,26482324,6426683,4643544,52718.165671172587
2019/02/10,796197439,841901445,408969279,490481559,433482342,55048167,26134995,6349070,4713794,45319.274897895068
2019/02/11,864193868,835947382,411436910,512516846,501674356,56442907,25536489,6616384,5131819,53930.858354271357
2019/02/12,873482041,852253566,415928309,516138892,501232123,54751027,24520675,6311037,4766637,53072.951303801445
2019/02/13,873732895,864608595,426764401,532650425,518413955,56562339,25492844,6521464,5031941,54755.477208425024
2019/02/14,863904350,874082103,434382966,547656518,534274078,59138615,26951692,6905261,5336499,56519.872133207666
2019/02/15,846250202,863703025,432750317,548826375,538379079,62321141,28676998,7000863,5296946,57346.248115577889
2019/02/16,862935223,887002711,441156191,544764376,502253108,61680715,27812638,6619496,4866815,53301.100565681961
2019/02/17,775438282,827282347,398050861,483104604,433072485,53693260,25009701,5773155,4221249,44973.911635220126
2019/02/18,812066986,829450657,402022705,501300559,486763893,55338121,24396390,5819892,4481475,51743.047798742138
2019/02/19,885920912,858295155,414244565,514519385,502598194,53431510,23396424,5932140,4520233,53062.409805153991
2019/02/20,876898175,862151090,420667682,525241058,513034966,55091969,24533833,6236098,4860651,54219.082364036467
2019/02/21,879562401,871854542,428447574,537681191,526065078,57481426,25897683,6598596,5078558,55725.782772712983
2019/02/22,863978087,875855771,434805040,547144330,533898414,60365556,27556843,6742309,5074264,56491.572864321608
2019/02/23,877036753,900311938,444219073,544921692,500039425,60099316,26751540,6366284,4635945,52710.071675573719
2019/02/24,791370517,841841923,404873920,487647563,433436990,53597323,25128522,5909051,4338031,44888.840251572327
2019/02/25,856307022,838995813,409674412,514776086,510511336,56657653,25550798,6549204,5242759,54624.013832128262
2019/02/26,860332900,844059658,408512569,513868413,510592046,54713589,24189058,6180367,4856475,54075.475487115022
2019/02/27,885821120,897211095,431921018,540864268,535153550,52498940,21727594,5324792,4307974,54883.0276816609
2019/02/28,873861121,899264316,435913244,548415462,543817124,54206062,22664858,5538725,4415709,55936.680817610063
2019/03/01,860061816,872445442,434169907,547200287,534283328,60858153,27902778,6873370,5177180,56701.86082312284
2019/03/02,875014423,896645817,443620631,544981468,500591250,60500198,27016700,6470885,4715347,52898.542426147077
2019/03/03,787673184,837001233,403962347,487076679,433335241,54113226,25427154,6010292,4423501,45020.04993718593
2019/03/04,860236302,837460741,410554372,513646342,506095058,56549537,25544053,6583351,5186260,54267.171222117499
2019/03/05,873253124,851539976,412899363,514838179,504804407,54299256,24017320,6141273,4713475,53403.8717787555
2019/03/06,878826707,874658509,426455452,532917371,522206045,54712235,23928391,6027628,4731274,54591.269327467002
2019/03/07,872452830,881744866,432919498,544586968,534719800,56938663,25176214,6348002,4943928,56119.630899937067
2019/03/08,916304700,943361717,468375944,591818230,581736913,64415821,28911232,6965138,5296742,61104.457770800628
2019/03/09,930520083,966121439,476363166,586841763,543312063,64209685,28079646,6579634,4852942,56931.852340559221
2019/03/10,842893785,907761062,435036633,526656970,473112858,57184451,26348517,6056109,4471308,48557.549136577708
2019/03/11,948306203,953212153,462519379,582976803,582876722,61593073,26786855,6742525,5525657,61293.688128140704
2019/03/12,931172802,924222281,446027936,560789189,557947501,57735815,24774076,6242195,4950641,58353.077237048666
2019/03/13,947128481,964795621,465491574,583919657,578964669,56516360,23265774,5692770,4639276,59215.211930926217
2019/03/14,943619559,971407801,471684439,594033311,590209735,58482157,24305523,5925599,4752244,60528.496703296703
2019/03/15,981579816,1031931910,508012904,641537093,634975063,66030232,28366147,6620608,5124485,65398.210179076343
2019/03/16,990791799,1050791071,513525261,632820264,592035428,66331016,27585103,6255218,4692763,61116.397670025189
