Date,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
2019/01/01,77433867.0,248733553.0,897784368.0,241667151.0,234284795.0,108078903.0,129670778.0,116904343.0,40432062.0,15686639.0,7525563.0,1806022.0,1728112.0
2019/01/02,61305201.0,264862219.0,1139452281.0,291276735.0,285887315.0,138039296.0,171637514.0,167412698.0,56148976.0,17739183.0,7817044.0,1962301.0,1531219.0
2019/01/03,63050480.0,263116940.0,1162752684.0,296375014.0,290074425.0,140771581.0,175775410.0,172027487.0,57632422.0,18366626.0,8124548.0,2038099.0,1567072.0
2019/01/04,61803652.0,264363768.0,1181953829.0,293159631.0,295643296.0,145251819.0,181324645.0,176144493.0,58761592.0,19315785.0,8687318.0,2096065.0,1569185.0
2019/01/05,64389745.0,261777675.0,1180476620.0,295459014.0,304168709.0,148540651.0,180941769.0,165239790.0,54842134.0,19363939.0,8490791.0,1991159.0,1438664.0
2019/01/06,66498949.0,259668471.0,1073940581.0,268535036.0,285817694.0,136432949.0,163231150.0,144091310.0,46931537.0,17418975.0,8160971.0,1917898.0,1403061.0
2019/01/07,62840591.0,263326829.0,1144741952.0,301592063.0,286444719.0,137699110.0,169846852.0,165178406.0,55660657.0,17491604.0,7584683.0,1815569.0,1428289.0
2019/01/08,63064293.0,263103127.0,1141497715.0,299541016.0,285368410.0,136696978.0,169468215.0,166322929.0,55968279.0,17369502.0,7471402.0,1856802.0,1434182.0
2019/01/09,62305155.0,263862265.0,1135628554.0,291070223.0,285839600.0,137586966.0,170647903.0,166169173.0,55640198.0,17543261.0,7709071.0,1923976.0,1498183.0
2019/01/10,61355771.0,264811649.0,1161334504.0,297556678.0,290556495.0,140392680.0,174998777.0,171169293.0,57136281.0,18087977.0,7940284.0,1975790.0,1520249.0
2019/01/11,59834641.0,266332779.0,1184885473.0,295273737.0,297378068.0,145572753.0,181250583.0,175850109.0,58430729.0,19057189.0,8515550.0,2035490.0,1521265.0
2019/01/12,63296966.0,262870454.0,1182862624.0,296713405.0,306038693.0,148874313.0,180918787.0,164952150.0,54516839.0,19155431.0,8351726.0,1941597.0,1399683.0
2019/01/13,65948772.0,260218648.0,1078662870.0,270508532.0,288192412.0,137008634.0,163602272.0,144148595.0,46690008.0,17211139.0,8047182.0,1882036.0,1372060.0
2019/01/14,61722485.0,264444935.0,1145155833.0,298317431.0,287269097.0,138304328.0,170770204.0,165997057.0,55849495.0,17633915.0,7701540.0,1856021.0,1456745.0
2019/01/15,61673843.0,264493577.0,1142410683.0,298675479.0,286019214.0,136884608.0,169916779.0,166784833.0,56004505.0,17370369.0,7462159.0,1859764.0,1432973.0
2019/01/16,60899469.0,265267951.0,1139136441.0,291561370.0,285734009.0,137771736.0,171452092.0,167448291.0,56190881.0,17703086.0,7788977.0,1955532.0,1530467.0
2019/01/17,60839618.0,265327802.0,1162089560.0,297062208.0,289768260.0,140493894.0,175350036.0,171748098.0,57611883.0,18342675.0,8110617.0,2037130.0,1564759.0
2019/01/18,60749716.0,265417704.0,1182335150.0,293681261.0,295908234.0,145287965.0,181237789.0,175936819.0,58682165.0,19265681.0,8668062.0,2097773.0,1569401.0
2019/01/19,63773105.0,262394315.0,1181267634.0,296003351.0,304464130.0,148634601.0,180961289.0,165181339.0,54810039.0,19324002.0,8463729.0,1989875.0,1435279.0
2019/01/20,66262767.0,259904653.0,1075289414.0,268983586.0,286042518.0,136710819.0,163422208.0,144096908.0,46991008.0,17478237.0,8204796.0,1938618.0,1420716.0
2019/01/21,63675160.0,262492260.0,1115422486.0,282498500.0,285772483.0,137908784.0,167618586.0,157962186.0,53770892.0,18330939.0,8166452.0,1919540.0,1474124.0
2019/01/22,60955427.0,265211993.0,1140602508.0,296526005.0,285272074.0,137192255.0,170289318.0,166702583.0,56025663.0,17572775.0,7632484.0,1918840.0,1470511.0
2019/01/23,60742079.0,265425341.0,1143585870.0,291207775.0,286081057.0,138753881.0,172810200.0,168622395.0,56606188.0,17972931.0,7957701.0,2008048.0,1565694.0
2019/01/24,60830058.0,265337362.0,1164835137.0,294518148.0,289893655.0,141434032.0,176979871.0,173163623.0,58139020.0,18666614.0,8322303.0,2101234.0,1616637.0
2019/01/25,60015494.0,266151926.0,1178624281.0,290515327.0,293637818.0,144894807.0,181493242.0,176643645.0,59166261.0,19621946.0,8879860.0,2154473.0,1616902.0
2019/01/26,63012103.0,263155317.0,1177258165.0,293648378.0,301991642.0,148105424.0,180949005.0,165585553.0,55186748.0,19612895.0,8656303.0,2041776.0,1480441.0
2019/01/27,66840703.0,259326717.0,1067878458.0,266115465.0,283215237.0,135579278.0,162675145.0,144029456.0,47119173.0,17565403.0,8230008.0,1933339.0,1415954.0
2019/01/28,61917802.0,264249618.0,1144329228.0,304865284.0,285619431.0,137092970.0,168934307.0,164354867.0,55471410.0,17348608.0,7467523.0,1775221.0,1399607.0
2019/01/29,61937470.0,264229950.0,1141498068.0,303423986.0,284817838.0,136011265.0,168213637.0,165482737.0,55873028.0,17166648.0,7317708.0,1792090.0,1399131.0
2019/01/30,62410001.0,263757419.0,1124175855.0,290438757.0,285711727.0,136229479.0,167695317.0,162432540.0,54129071.0,16952766.0,7378939.0,1808528.0,1398731.0
2019/01/31,61961538.0,264205882.0,1157078359.0,301079353.0,292010528.0,139249612.0,172668549.0,168601822.0,55657421.0,17254655.0,7388177.0,1789046.0,1379196.0
2019/02/01,60777620.0,265389800.0,1198174745.0,302756774.0,303732108.0,147085258.0,181701325.0,175622441.0,57654181.0,18352937.0,8024829.0,1861915.0,1382977.0
2019/02/02,64097735.0,262069685.0,1194545524.0,301593123.0,312835115.0,150443830.0,181541504.0,164718077.0,53759086.0,18596362.0,7970025.0,1799909.0,1288493.0
2019/02/03,66388399.0,259779021.0,1096945862.0,277468961.0,296443631.0,139260373.0,165330984.0,144859656.0,46130932.0,16650675.0,7733991.0,1781046.0,1285613.0
2019/02/04,61732125.0,264435295.0,1150303661.0,292864884.0,290013405.0,140036170.0,173255803.0,168269480.0,56446171.0,17986128.0,7967603.0,1944157.0,1519860.0
2019/02/05,62535045.0,263632375.0,1149446741.0,297194092.0,289059838.0,137961612.0,171894941.0,168800309.0,56324699.0,17435688.0,7465498.0,1875394.0,1434670.0
2019/02/06,60769815.0,265397605.0,1153956459.0,294131950.0,286482129.0,138846040.0,174503595.0,171928073.0,58064017.0,18251462.0,8058395.0,2057765.0,1633033.0
2019/02/07,59764551.0,266402869.0,1168726299.0,296698419.0,288482725.0,141328057.0,177065383.0,174124982.0,59258895.0,19177833.0,8655569.0,2229580.0,1704856.0
2019/02/08,59180530.0,266986890.0,1179096200.0,289990169.0,292594370.0,144981116.0,181876499.0,176859517.0,59659907.0,19962243.0,9159413.0,2292580.0,1720386.0
2019/02/09,62506876.0,263660544.0,1180969154.0,295022873.0,300880122.0,148498290.0,181756731.0,166486827.0,55899277.0,19907390.0,8827518.0,2142251.0,1547875.0
2019/02/10,65729167.0,260438253.0,1069184201.0,265401191.0,280635927.0,136324079.0,163495020.0,144494965.0,48084088.0,18349541.0,8711724.0,2116378.0,1571288.0
2019/02/11,61161333.0,265006087.0,1130411911.0,288066694.0,278651200.0,137146622.0,170840074.0,167225625.0,57238941.0,18814431.0,8512214.0,2205480.0,1710630.0
2019/02/12,61266152.0,264901268.0,1139447218.0,291163013.0,284086900.0,138643911.0,172047589.0,167078320.0,56310781.0,18250486.0,8173615.0,2103699.0,1588904.0
2019/02/13,60916903.0,265250517.0,1161329256.0,291247072.0,288205690.0,142256220.0,177551687.0,172805878.0,58059528.0,18854304.0,8497690.0,2173844.0,1677343.0
2019/02/14,59283569.0,266883851.0,1177520494.0,287970447.0,291363102.0,144795530.0,182553461.0,178092354.0,59967976.0,19713028.0,8983963.0,2301774.0,1778859.0
2019/02/15,59306722.0,266860698.0,1171939488.0,282085448.0,287903038.0,144251145.0,182943248.0,179460571.0,60863850.0,20773834.0,9559047.0,2333636.0,1765671.0
2019/02/16,62446901.0,263720519.0,1169574450.0,287647543.0,295670102.0,147053295.0,181589489.0,167418727.0,56535103.0,20560422.0,9270955.0,2206518.0,1622296.0
2019/02/17,66614741.0,259552679.0,1049564416.0,258481984.0,275763626.0,132684958.0,161036347.0,144358636.0,47672761.0,17897942.0,8336649.0,1924406.0,1407107.0
2019/02/18,64072613.0,262094807.0,1095404940.0,270691655.0,276486438.0,134008940.0,167101717.0,162255834.0,54848085.0,18446230.0,8132206.0,1939985.0,1493850.0
2019/02/19,61805005.0,264362415.0,1143910854.0,295309698.0,286101104.0,138082814.0,171507842.0,167533782.0,56281925.0,17810655.0,7798869.0,1977397.0,1506768.0
2019/02/20,62190998.0,263976422.0,1153739503.0,292302291.0,287386647.0,140223962.0,175081873.0,171012842.0,57490745.0,18364162.0,8178018.0,2078718.0,1620245.0
2019/02/21,61675903.0,264491517.0,1171987605.0,293190287.0,290621129.0,142817269.0,179228607.0,175356229.0,59088352.0,19160655.0,8632641.0,2199556.0,1692880.0
2019/02/22,59452280.0,266715140.0,1178438544.0,287995016.0,291954341.0,144936168.0,182382666.0,177967059.0,59956735.0,20121991.0,9185671.0,2247452.0,1691445.0
2019/02/23,63037912.0,263129508.0,1177361536.0,292348490.0,300106987.0,148074422.0,181642088.0,166680895.0,55890649.0,20033291.0,8917258.0,2122116.0,1545340.0
2019/02/24,65380013.0,260787407.0,1063640213.0,263792806.0,280616865.0,134959320.0,162550666.0,144480067.0,47582547.0,17865950.0,8376253.0,1969705.0,1446034.0
2019/02/25,61297147.0,264870273.0,1132685439.0,285438610.0,279668228.0,136559559.0,171593543.0,170171621.0,57920090.0,18886072.0,8517006.0,2183093.0,1747617.0
2019/02/26,60950030.0,265217390.0,1133134548.0,286780452.0,281356022.0,136172176.0,171290890.0,170198454.0,57356462.0,18238014.0,8063083.0,2060143.0,1618852.0
2019/02/27,60845387.0,265322033.0,1183114528.0,295277251.0,299074078.0,143975467.0,180289995.0,178386030.0,58158271.0,17499855.0,7242608.0,1774953.0,1436020.0
2019/02/28,60665802.0,265501618.0,1188670815.0,291290299.0,299758243.0,145306086.0,182806928.0,181273746.0,59293383.0,18068906.0,7555030.0,1846265.0,1471929.0
2019/03/01,59783948.0,266383472.0,1176494148.0,286689722.0,290817743.0,144724601.0,182401446.0,178095455.0,60161066.0,20286231.0,9300990.0,2291142.0,1725752.0
2019/03/02,63493215.0,262674205.0,1175970798.0,291674359.0,298884878.0,147875004.0,181662061.0,166864927.0,56108189.0,20166935.0,9005651.0,2156985.0,1571809.0
2019/03/03,66580268.0,259587152.0,1060796560.0,262559717.0,279002562.0,134655147.0,162360000.0,144445899.0,47781607.0,18037894.0,8475767.0,2003446.0,1474521.0
2019/03/04,63904519.0,262262901.0,1131539103.0,286748060.0,279156156.0,136852742.0,171216827.0,168699423.0,57577892.0,18850007.0,8514745.0,2194470.0,1728781.0
2019/03/05,62404653.0,263762767.0,1138823023.0,291087298.0,283849564.0,137634518.0,171614197.0,168269248.0,56644126.0,18099932.0,8005842.0,2047113.0,1571185.0
2019/03/06,61656126.0,264511294.0,1166068569.0,292945242.0,291555842.0,142153275.0,177640644.0,174069842.0,57903590.0,18237581.0,7976202.0,2009233.0,1577118.0
2019/03/07,58709632.0,267457788.0,1179407287.0,290821453.0,293918934.0,144308396.0,181530974.0,178241482.0,59450001.0,18979819.0,8392184.0,2116034.0,1648010.0
2019/03/08,61675986.0,264491434.0,1267276915.0,305437304.0,314456318.0,156126514.0,197274012.0,193913275.0,64872941.0,21472095.0,9637126.0,2321728.0,1765602.0
2019/03/09,64286079.0,261881341.0,1262709362.0,310176293.0,322043579.0,158789204.0,195615549.0,181105298.0,60405158.0,21403427.0,9359951.0,2193231.0,1617672.0
2019/03/10,66315164.0,259852256.0,1144733632.0,280966695.0,302589236.0,145013234.0,175553429.0,157705128.0,51552250.0,19061606.0,8782886.0,2018714.0,1490454.0
2019/03/11,61745090.0,264422330.0,1275242903.0,316104816.0,317740136.0,154174489.0,194326999.0,194293358.0,65053456.0,20531202.0,8929008.0,2247527.0,1841912.0
2019/03/12,61046308.0,265121112.0,1233247690.0,310393423.0,308076490.0,148677129.0,186930907.0,185983422.0,61951881.0,19245391.0,8258067.0,2080746.0,1650234.0
2019/03/13,61299212.0,264868208.0,1273013533.0,315711936.0,321600931.0,155165016.0,194641092.0,192989140.0,62867162.0,18838909.0,7755301.0,1897602.0,1546444.0
2019/03/14,61108380.0,265059040.0,1285743261.0,314542193.0,323805065.0,157229356.0,198012348.0,196737523.0,64261422.0,19494160.0,8101881.0,1975213.0,1584100.0
2019/03/15,59971319.0,266196101.0,1370791272.0,327196135.0,343980413.0,169339123.0,213847285.0,211659564.0,69387967.0,22010256.0,9455455.0,2206889.0,1708185.0
2019/03/16,63112571.0,263054849.0,1359662190.0,330268457.0,350268592.0,171177421.0,210942644.0,197347182.0,64702674.0,22110659.0,9195169.0,2085108.0,1564284.0
2019/03/17,59760643.0,266406777.0,1236161870.0,301169953.0,328371275.0,156697501.0,189838404.0,171641479.0,55526778.0,20166946.0,9134726.0,2070067.0,1544741.0
2019/03/18,55794156.0,270373264.0,1324019397.0,325045574.0,331108743.0,160150414.0,202434866.0,203579875.0,67635497.0,21002391.0,8962003.0,2236487.0,1863547.0
2019/03/19,55956894.0,270210526.0,1327107734.0,326460802.0,331978507.0,160041558.0,203112011.0,205008902.0,67562229.0,20506022.0,8552565.0,2131637.0,1753501.0
2019/03/20,67134070.0,259033350.0,1388905666.0,337929790.0,354506313.0,169777699.0,213868174.0,214580964.0,68237812.0,19381456.0,7394567.0,1738777.0,1490114.0
2019/03/21,67596649.0,258570771.0,1399327430.0,336070187.0,356361039.0,171628748.0,216817981.0,218058523.0,69526783.0,19933795.0,7656176.0,1778837.0,1495361.0
2019/03/22,66575445.0,259591975.0,1474821304.0,345892803.0,373797307.0,182837196.0,231408809.0,231330078.0,74248036.0,22503698.0,9144871.0,2036249.0,1622257.0
2019/03/23,69662047.0,256505373.0,1454403655.0,347208534.0,377950306.0,183333577.0,226582369.0,214973069.0,69263125.0,22772397.0,8906612.0,1925032.0,1488634.0
2019/03/24,68798328.0,257369092.0,1323624534.0,318715847.0,353113075.0,167688047.0,203916643.0,186364262.0,59624433.0,21192792.0,9380155.0,2066990.0,1562290.0
2019/03/25,64287528.0,261879892.0,1409900815.0,344107900.0,351041136.0,169670379.0,215935904.0,219120884.0,72954340.0,22755776.0,9776386.0,2457175.0,2080935.0
2019/03/26,63689564.0,262477856.0,1407688240.0,342011416.0,350380468.0,169198732.0,216465984.0,220678180.0,72959946.0,22275040.0,9389077.0,2358448.0,1970949.0
2019/03/27,62771501.0,263395919.0,1506518063.0,363746373.0,387627905.0,184162734.0,232389015.0,234830178.0,73422432.0,20053746.0,7201380.0,1629915.0,1454385.0
2019/03/28,61967207.0,264200213.0,1506564281.0,357540425.0,387340231.0,185064208.0,234099485.0,237198827.0,74397423.0,20473581.0,7378226.0,1638885.0,1432990.0
2019/03/29,62383748.0,263783672.0,1471183245.0,339336459.0,375461911.0,182837489.0,232099969.0,234182583.0,74050753.0,21609060.0,8365252.0,1780072.0,1459697.0
2019/03/30,65715417.0,260452003.0,1444995244.0,340028067.0,377466628.0,182137646.0,225977857.0,217098110.0,69091487.0,22017729.0,8155005.0,1681203.0,1341512.0
2019/03/31,68247575.0,257919845.0,1327730023.0,315018727.0,355964747.0,168102245.0,205375542.0,190149688.0,60055748.0,20785229.0,8923429.0,1895774.0,1458894.0
